uuid,item_id,timestamp,price,url,color,title,is_new
H078595CKAA1715889368,H078595CKAA,1715889368,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H083894CAAG1715889368,H083894CAAG,1715889368,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H082924CAAD1715889368,H082924CAAD,1715889368,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H083618CKAB1715889368,H083618CKAB,1715889368,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
H083618CKAC1715889368,H083618CKAC,1715889368,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H085078CKAA1715889368,H085078CKAA,1715889368,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
H083618CKAC1715889967,H083618CKAC,1715889967,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,0
H082924CAAD1715889967,H082924CAAD,1715889967,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,0
H078595CKAA1715889967,H078595CKAA,1715889967,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,0
H083894CAAG1715889967,H083894CAAG,1715889967,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,0
H083618CKAB1715889967,H083618CKAB,1715889967,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,0
H085078CKAA1715889967,H085078CKAA,1715889967,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,0
H083618CKAB1715920800,H083618CKAB,1715920800,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
H083894CAAG1715920800,H083894CAAG,1715920800,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H083189CKAR1715920800,H083189CKAR,1715920800,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,1
H084235CK631715920800,H084235CK63,1715920800,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,1
H082924CAAD1715920800,H082924CAAD,1715920800,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H083618CKAC1715920800,H083618CKAC,1715920800,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H073611CK8U1715920800,H073611CK8U,1715920800,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1
H078595CKAA1715920800,H078595CKAA,1715920800,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H085078CKAA1715920800,H085078CKAA,1715920800,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
